Conso;Glacage;Fourrage;Eclair;App glacage;Evocation glacage;Attentes gustatives;Int Chocolat;Sucre;Lait;Amer;Ressenti;Liking;Sexe;Age;CSP;Conso Patisseries;Attrait Patisseries;Difficulte Epreuve
1;Gfonce;Ffaible;Gfonce_Ffaible;8;chocolat,mat;doux,compact;1;3;4;3;decu;6;F;18/24;etudiants;occasionnellement;7;2
1;Gfonce;Ffort;Gfonce_Ffort;8;chocolat,mat;doux,compact;4;3;2;4;agreablement surpris;9;F;18/24;etudiants;occasionnellement;7;2
1;Gfonce;Fmoyen;Gfonce_Fmoyen;8;chocolat,mat;doux,compact;2;3;4;3;je m attendais a ca;7;F;18/24;etudiants;occasionnellement;7;2
1;Gmoyen;Ffaible;Gclair_Ffaible;9;chocolat_au_lait,caramel;lait,sucre;3;3;3;3;je m attendais a ca;7;F;18/24;etudiants;occasionnellement;7;2
1;Gmoyen;Ffort;Gclair_Ffort;9;chocolat_au_lait,caramel;lait,sucre;4;3;3;3;agreablement surpris;9;F;18/24;etudiants;occasionnellement;7;2
1;Gmoyen;Fmoyen;Gclair_Fmoyen;9;chocolat_au_lait,caramel;lait,sucre;2;4;4;3;decu;4;F;18/24;etudiants;occasionnellement;7;2
1;Gclair;Ffort;Gmoyen_Ffort;3;cafe,caramel,lait;acidupeu_sucre;2;3;3;2;agreablement surpris;8;F;18/24;etudiants;occasionnellement;7;2
1;Gclair;Fmoyen;Gmoyen_Fmoyen;3;cafe,caramel,lait;acidupeu_sucre;3;3;2;3;je m attendais a ca;6;F;18/24;etudiants;occasionnellement;7;2
1;Gclair;Ffaible;Gmoyen_Ffaible;3;cafe,caramel,lait;acidupeu_sucre;1;4;4;2;tres decu;3;F;18/24;etudiants;occasionnellement;7;2
2;Gfonce;Ffaible;Gfonce_Ffaible;8;chocolat;moelleux,cremeux,chocolate;2;3;3;3;decu;6;M;18/24;etudiants;occasionnellement;8;2
2;Gfonce;Ffort;Gfonce_Ffort;8;chocolat;moelleux,cremeux,chocolate;2;3;5;3;decu;5;M;18/24;etudiants;occasionnellement;8;2
2;Gfonce;Fmoyen;Gfonce_Fmoyen;8;chocolat;moelleux,cremeux,chocolate;2;3;3;3;decu;6;M;18/24;etudiants;occasionnellement;8;2
2;Gmoyen;Ffaible;Gclair_Ffaible;7;chocolat_au_lait;moelleux,chocolate,sucre,cremeux;2;3;4;3;je m attendais a ca;6;M;18/24;etudiants;occasionnellement;8;2
2;Gmoyen;Ffort;Gclair_Ffort;7;chocolat_au_lait;moelleux,chocolate,sucre,cremeux;3;3;3;3;agreablement surpris;8;M;18/24;etudiants;occasionnellement;8;2
2;Gmoyen;Fmoyen;Gclair_Fmoyen;7;chocolat_au_lait;moelleux,chocolate,sucre,cremeux;3;3;3;3;agreablement surpris;8;M;18/24;etudiants;occasionnellement;8;2
2;Gclair;Ffort;Gmoyen_Ffort;7;cafe;cafe,moelleux,cremeux;2;3;4;3;decu;5;M;18/24;etudiants;occasionnellement;8;2
2;Gclair;Fmoyen;Gmoyen_Fmoyen;7;cafe;cafe,moelleux,cremeux;2;3;4;3;decu;4;M;18/24;etudiants;occasionnellement;8;2
2;Gclair;Ffaible;Gmoyen_Ffaible;7;cafe;cafe,moelleux,cremeux;2;3;3;3;decu;6;M;18/24;etudiants;occasionnellement;8;2
3;Gmoyen;Ffaible;Gmoyen_Ffaible;8;chaleur,douceur,chocolat_au_lait;tres_sucre,pas,d,amer,chocolat_peu_prononce;2;3;3;3;je m attendais a ca;3;F;35/49;professions liberales et cadres superieurs;regulierement;10;6
3;Gmoyen;Ffort;Gmoyen_Ffort;8;chaleur,douceur,chocolat_au_lait;tres_sucre,pas,d,amer,chocolat_peu_prononce;3;2;3;4;agreablement surpris;6;F;35/49;professions liberales et cadres superieurs;regulierement;10;6
3;Gmoyen;Fmoyen;Gmoyen_Fmoyen;8;chaleur,douceur,chocolat_au_lait;tres_sucre,pas,d,amer,chocolat_peu_prononce;3;3;3;4;agreablement surpris;7;F;35/49;professions liberales et cadres superieurs;regulierement;10;6
3;Gfonce;Ffort;Gfonce_Ffort;3;amer,manque_de_sucre,intense;intense,chocolat,amer;3;3;3;3;je m attendais a ca;6;F;35/49;professions liberales et cadres superieurs;regulierement;10;6
3;Gfonce;Ffaible;Gfonce_Ffaible;3;amer,manque_de_sucre,intense;intense,chocolat,amer;2;4;3;2;decu;3;F;35/49;professions liberales et cadres superieurs;regulierement;10;6
3;Gfonce;Fmoyen;Gfonce_Fmoyen;3;amer,manque_de_sucre,intense;intense,chocolat,amer;2;3;3;2;je m attendais a ca;5;F;35/49;professions liberales et cadres superieurs;regulierement;10;6
3;Gclair;Fmoyen;Gclair_Fmoyen;0;cafe,caramel,sucre;sans_chocolat,tres_sucre;4;3;3;4;agreablement surpris;4;F;35/49;professions liberales et cadres superieurs;regulierement;10;6
3;Gclair;Ffaible;Gclair_Ffaible;0;cafe,caramel,sucre;sans_chocolat,tres_sucre;3;3;3;3;je m attendais a ca;4;F;35/49;professions liberales et cadres superieurs;regulierement;10;6
3;Gclair;Ffort;Gclair_Ffort;0;cafe,caramel,sucre;sans_chocolat,tres_sucre;5;2;3;5;agreablement surpris;7;F;35/49;professions liberales et cadres superieurs;regulierement;10;6
4;Gmoyen;Ffaible;Gmoyen_Ffaible;9;chocolat,gourmand;gourmand,creme,chocolat,savoureuse,avec,texture,exterieure,equilibre,moelleux,gout,chocolat;2;3;3;3;je m attendais a ca;6;F;18/24;etudiants;regulierement;10;3
4;Gmoyen;Ffort;Gmoyen_Ffort;9;chocolat,gourmand;gourmand,creme,chocolat,savoureuse,avec,texture,exterieure,equilibre,moelleux,gout,chocolat;3;3;3;3;agreablement surpris;7;F;18/24;etudiants;regulierement;10;3
4;Gmoyen;Fmoyen;Gmoyen_Fmoyen;9;chocolat,gourmand;gourmand,creme,chocolat,savoureuse,texture,exterieure,equilibre,moelleux,gout,chocolat;2;2;3;3;je m attendais a ca;6;F;18/24;etudiants;regulierement;10;3
4;Gfonce;Ffort;Gfonce_Ffort;7;chocolat_noir,intense,aromes;chocolat_noir,fort,amer;2;4;3;2;decu;4;F;18/24;etudiants;regulierement;10;3
