Conso;Glacage;Fourrage;Eclair;App glacage;Attentes gustatives;Int Chocolat;Sucre;Lait;Ressenti;Liking;Difficulte Epreuve;Age enfant;Age parent
1;Gfonce;Ffaible;Gfonce_Ffaible;8;noir,chocolat;1;2;3;un peu decu;5;7;3,5;37
1;Gfonce;Ffort;Gfonce_Ffort;8;noir,chocolat;3;2;3;agreablement surpris;7;7;3,5;37
1;Gfonce;Fmoyen;Gfonce_Fmoyen;8;noir,chocolat;2;3;3;je m attendais a ca;6;7;3,5;37
1;Gmoyen;Ffort;Gmoyen_Ffort;10;marron,chocolat_au_lait;2;3;3;agreablement surpris;8;7;3,5;37
1;Gmoyen;Fmoyen;Gmoyen_Fmoyen;10;marron,chocolat_au_lait;2;4;3;je m attendais a ca;5;7;3,5;37
1;Gmoyen;Ffaible;Gmoyen_Ffaible;10;marron,chocolat_au_lait;2;5;3;je m attendais a ca;5;7;3,5;37
1;Gclair;Ffaible;Gclair_Ffaible;9;marron,joli,brille;3;3;3;un peu decu;4;7;3,5;37
1;Gclair;Ffort;Gclair_Ffort;9;marron,joli,brille;4;3;3;agreablement surpris;7;7;3,5;37
1;Gclair;Fmoyen;Gclair_Fmoyen;9;marron,joli,brille;3;4;3;un peu decu;4;7;3,5;37
2;Gfonce;Fmoyen;Gfonce_Fmoyen;3;beaucoup_de_chocolat;3;3;2;je m attendais a ca;4;0;12;37
2;Gfonce;Ffort;Gfonce_Ffort;3;beaucoup_de_chocolat;2;5;4;agreablement surpris;7;0;12;37
2;Gfonce;Ffaible;Gfonce_Ffaible;3;beaucoup_de_chocolat;2;4;3;agreablement surpris;8;0;12;37
2;Gmoyen;Fmoyen;Gmoyen_Fmoyen;7;chocolat_noir,chocolat_au_lait;4;4;3;je m attendais a ca;5;0;12;37
2;Gmoyen;Ffaible;Gmoyen_Ffaible;7;chocolat_noir,chocolat_au_lait;4;3;3;un peu decu;4;0;12;37
2;Gmoyen;Ffort;Gmoyen_Ffort;7;chocolat_noir,chocolat_au_lait;5;2;2;un peu decu;3;0;12;37
